ticker_ishares,place,ticker,nom_yahoo,statut
KRZ,Irish Stock Exchange - All Market,KRZ.IR,Kerry Group plc,vérifié
BESI,Euronext Amsterdam,BESI.AS,BE Semiconductor Industries N.V.,vérifié
TRN,Borsa Italiana,TRN.MI,Terna S.p.A.,vérifié
ESSITY B,Nasdaq Omx Nordic,ESSITY-B.ST,Essity AB (publ),vérifié
BOL,Nasdaq Omx Nordic,BOL.ST,Boliden AB (publ),vérifié
TIT,Borsa Italiana,TIT.MI,Telecom Italia S.p.A.,vérifié
KOG,Oslo Bors Asa,KOG.OL,Kongsberg Gruppen ASA,vérifié
SOON,SIX Swiss Exchange,SOON.SW,Sonova Holding AG,vérifié
LOGN,SIX Swiss Exchange,LOGN.SW,Logitech International S.A.,vérifié
CLNX,Bolsa De Madrid,CLNX.MC,"Cellnex Telecom, S.A.",vérifié
KNIN,SIX Swiss Exchange,KNIN.SW,Kuehne + Nagel International AG,vérifié
ENX,Nyse Euronext - Euronext Paris,ENX.PA,Euronext N.V.,vérifié
STMN,SIX Swiss Exchange,STMN.SW,Straumann Holding AG,vérifié
SY1,Xetra,SY1.DE,Symrise AG,vérifié
EN,Nyse Euronext - Euronext Paris,EN.PA,Bouygues SA,vérifié
PST,Borsa Italiana,PST.MI,Poste Italiane S.p.A.,vérifié
AGS,Nyse Euronext - Euronext Brussels,AGS.BR,ageas SA/NV,vérifié
IAG,London Stock Exchange,IAG.L,International Consolidated Airlines Group S.A.,vérifié
UU.,London Stock Exchange,UU.L,United Utilities Group PLC,vérifié
RI,Nyse Euronext - Euronext Paris,RI.PA,Pernod Ricard SA,vérifié
METSO,Nasdaq Omx Helsinki Ltd.,METSO.HE,Metso Oyj,vérifié
ADM,London Stock Exchange,ADM.L,Admiral Group plc,vérifié
HEN3,Xetra,HEN3.DE,Henkel AG & Co. KGaA,vérifié
CCH,London Stock Exchange,CCH.L,Coca-Cola HBC AG,vérifié
SCHP,SIX Swiss Exchange,SCHP.SW,Schindler Holding AG,vérifié
PEO,Warsaw Stock Exchange/Equities/Main Market,PEO.WA,Bank Polska Kasa Opieki S.A.,vérifié
UNI,Borsa Italiana,UNI.MI,Unipol Assicurazioni S.p.A.,vérifié
SRG,Borsa Italiana,SRG.MI,Snam S.p.A.,vérifié
DPLM,London Stock Exchange,DPLM.L,Diploma PLC,vérifié
SGE,London Stock Exchange,SGE.L,The Sage Group plc,vérifié
ITRK,London Stock Exchange,ITRK.L,Intertek Group plc,vérifié
KGH,Warsaw Stock Exchange/Equities/Main Market,KGH.WA,KGHM Polska Miedz S.A.,vérifié
BCP,Nyse Euronext - Euronext Lisbon,BCP.LS,"Banco Comercial Português, S.A.",vérifié
ASRNL,Euronext Amsterdam,ASRNL.AS,ASR Nederland N.V.,vérifié
CA,Nyse Euronext - Euronext Paris,CA.PA,Carrefour SA,vérifié
AKRBP,Oslo Bors Asa,AKRBP.OL,Aker BP ASA,vérifié
SPSN,SIX Swiss Exchange,SPSN.SW,Swiss Prime Site AG,vérifié
FORTUM,Nasdaq Omx Helsinki Ltd.,FORTUM.HE,Fortum Oyj,vérifié
NTGY,Bolsa De Madrid,NTGY.MC,"Naturgy Energy Group, S.A.",vérifié
CARL B,Omx Nordic Exchange Copenhagen A/S,CARL-B.CO,Carlsberg A/S,vérifié
OMV,Wiener Boerse Ag,OMV.VI,OMV Aktiengesellschaft,vérifié
BKT,Bolsa De Madrid,BKT.MC,"Bankinter, S.A.",vérifié
SN.,London Stock Exchange,SN.L,Smith & Nephew plc,vérifié
EVO,Nasdaq Omx Nordic,EVO.ST,Evolution AB (publ),vérifié
NHY,Oslo Bors Asa,NHY.OL,Norsk Hydro ASA,vérifié
FGR,Nyse Euronext - Euronext Paris,FGR.PA,Eiffage SA,vérifié
URW,Nyse Euronext - Euronext Paris,URW.PA,Unibail-Rodamco-Westfield SE,vérifié
MAERSK B,Omx Nordic Exchange Copenhagen A/S,MAERSK-B.CO,A.P. Møller - Mærsk A/S,vérifié
BVI,Nyse Euronext - Euronext Paris,BVI.PA,Bureau Veritas SA,vérifié
ALE,Warsaw Stock Exchange/Equities/Main Market,ALE.WA,Allegro.eu S.A.,vérifié
TELIA,Nasdaq Omx Nordic,TELIA.ST,Telia Company AB (publ),vérifié
AGN,Euronext Amsterdam,AGN.AS,Aegon Ltd.,vérifié
SMIN,London Stock Exchange,SMIN.L,Smiths Group plc,vérifié
BNZL,London Stock Exchange,BNZL.L,Bunzl plc,vérifié
AKZA,Euronext Amsterdam,AKZA.AS,Akzo Nobel N.V.,vérifié
MONC,Borsa Italiana,MONC.MI,Moncler S.p.A.,vérifié
G1A,Xetra,G1A.DE,GEA Group Aktiengesellschaft,vérifié
RTO,London Stock Exchange,RTO.L,Rentokil Initial plc,vérifié
SOBI,Nasdaq Omx Nordic,SOBI.ST,Swedish Orphan Biovitrum AB (publ),vérifié
PZU,Warsaw Stock Exchange/Equities/Main Market,PZU.WA,Powszechny Zaklad Ubezpieczen SA,vérifié
